course_name,course_url,course_logo_url,category,difficulty,description,rating,enrollment_count
The Modern and the Postmodern (Part 2),https://www.coursera.org/learn/modern-postmodern-2,https://s3.amazonaws.com/coursera-course-photos/ae/40ab4d371617977d0c8b273d63e014/The-Bar-at-the-Folies-Bergeres-by-Edouard-Manet.jpg,Liberal Arts,MIXED,"Aesthetics, Culture, Cultural Diversity, Social Studies, Psychology, Political Sciences, Sociology, Creativity, Social Sciences, Higher Education",4.8,360
Blazor for Front-End Development,https://www.coursera.org/learn/blazor-for-front-end-development,https://s3.amazonaws.com/coursera-course-photos/51/793fb9d8bb46028702415611842d01/FE.C4_Logo-1-.png,User Interface and User Experience (UI/UX) Design,BEGINNER,"User Interface (UI), User Interface (UI) Design, UI Components, Microsoft Development Tools, Performance Tuning, ASP.NET, Front-End Web Development, .NET Framework, C# (Programming Language), Web Applications, Server Side, Web Development, Debugging",3.5,2
Matlab and Simulink Basics ,https://www.coursera.org/learn/matlab-and-simulink-basics,https://s3.amazonaws.com/coursera-course-photos/9a/8fc3108844461793d5e7818b7d2e94/BATCH-5-1200-x-1200-px-2-.png,Matlab,BEGINNER,"Scientific Visualization, Simulation and Simulation Software, Mathematical Modeling, Engineering Analysis, Numerical Analysis, Data Integration, Data Structures, Scripting, Computer Programming, Debugging",4,36
The Raspberry Pi Platform and Python Programming for the Raspberry Pi,https://www.coursera.org/learn/raspberry-pi-platform,https://s3.amazonaws.com/coursera-course-photos/39/9007a0477e11e5a942d344b74e874c/Course-4-logo-v1.jpg,Linux,MIXED,"Operating Systems, Integrated Development Environments, File Systems, Internet Of Things, Command-Line Interface, Development Environment, System Configuration, Embedded Systems, Python Programming, OS Process Management, User Interface (UI), Computer Hardware, UI Components, Software Installation, Computer Programming",4.7,2755
Statistical Inference,https://www.coursera.org/learn/statistical-inference,https://s3.amazonaws.com/coursera-course-photos/fc/f4739069b611e39de639278c4f9dba/StatisticalInference.jpg,Statistical Inference,MIXED,"Statistical Hypothesis Testing, Probability & Statistics, Probability, Statistics, Bayesian Statistics, Statistical Methods, Statistical Modeling, Statistical Analysis, Probability Distribution, Sampling (Statistics)",4.2,4443
Computer Vision in Microsoft Azure,https://www.coursera.org/learn/computer-vision-microsoft-azure,https://s3.amazonaws.com/coursera-course-photos/37/310cb7aaad4a5c97b4d11974681f15/Computer-Vision-in-Microsoft-Azure-01.png,Image Analysis,BEGINNER,"Computer Vision, Artificial Intelligence, Microsoft Azure, Applied Machine Learning, Data Processing, Unstructured Data, Natural Language Processing, Deep Learning, Application Programming Interface (API)",4.6,92
"Mental Health Development, Difficulties, and Disorders",https://www.coursera.org/learn/mental-health-development-difficulties-and-disorders,https://s3.amazonaws.com/coursera-course-photos/51/58aa4423444c16a7a464064a722986/Mental-Health-Development-Difficulties-and-Disorders---Logo-Image.png,Human Development,BEGINNER,"Gerontology, Psychotherapy, Pediatrics, Mental Health, Psychology, Behavioral Health, Psychiatry",4.3,6
Real-Time Embedded Systems Theory and Analysis,https://www.coursera.org/learn/real-time-embedded-theory-analysis,https://s3.amazonaws.com/coursera-course-photos/79/0efb5b9b4a4ef6929b4a6458bdb57e/RT-Analysis.png,Embedded Systems,ADVANCED,"Embedded Software, Software Design, Linux, Linux Administration, System Design and Implementation, Real Time Data, Software Systems, OS Process Management, Operating Systems, Service Design, Systems Analysis, Theoretical Computer Science, Verification And Validation, Mathematical Software, Algorithms, Debugging",4.1,16
Energy: The Enterprise,https://www.coursera.org/learn/energy-industry-overview,https://s3.amazonaws.com/coursera-course-photos/18/038e60d90c11e68826f9115079a24e/C1-block.jpg,Workforce Development,BEGINNER,"Environmental Issue, Economics, Project Design, Environment, Business Economics, Innovation, Emerging Technologies, Operational Efficiency",4.8,1068
Financing for Startup Businesses,https://www.coursera.org/learn/financing-startup-businesses,https://s3.amazonaws.com/coursera-course-photos/37/fa2fbe286246ca81fe2d50c5c42f14/Financing-Disruptions-.jpg,FinTech,INTERMEDIATE,"Entrepreneurial Finance, Fundraising and Crowdsourcing, Financial Analysis, Financial Modeling, Private Equity, Loans, Financial Services, Credit Risk, Liquidation",4.5,206
Trading Algorithms,https://www.coursera.org/learn/trading-algorithm,https://s3.amazonaws.com/coursera-course-photos/6b/c1cd306f8711e69fa9bdef79eea7c1/Emerging-markets.jpg,Financial Trading,INTERMEDIATE,"Financial Analysis, Financial Statement Analysis, Financial Market, Market Trend, Market Dynamics, Analysis, Research Reports, Decision Making",4.5,1085
Desarrollo de aplicaciones móviles con Android,https://www.coursera.org/specializations/programacion-android,https://d15cw65ipctsrr.cloudfront.net/71/619d2aa27e4170bdf85fbf90678f19/Android_0.jpg,Android Development,INTERMEDIATE,"Android Studio, Mobile Development, Java, Object Oriented Programming (OOP), Android (Operating System), Mockups, Application Deployment, Mobile Development Tools, Application Development, Software Design Patterns, Prototyping, JSON, Cloud Applications, User Interface (UI) Design, Data Storage, User Interface (UI), User Interface and User Experience (UI/UX) Design, Restful API, Geospatial Information and Technology",4.6,1899
Advanced Deep Learning Methods for Healthcare,https://www.coursera.org/learn/advanced-deep-learning-methods-healthcare,https://s3.amazonaws.com/coursera-course-photos/08/c9be449b504220953ade38c350965b/Screen-Shot-2020-08-14-at-11.11.18-AM.png,Deep Learning,ADVANCED,"Generative AI, Applied Machine Learning, Machine Learning Methods, Image Analysis, Graph Theory, Network Analysis, Artificial Neural Networks, Machine Learning Software, Artificial Intelligence and Machine Learning (AI/ML), Computer Vision, Predictive Modeling, Technical Communication, Scientific Methods, Natural Language Processing, Data Synthesis, Python Programming",3,10
Privacy in Europe,https://www.coursera.org/learn/privacy-eu,https://s3.amazonaws.com/coursera-course-photos/e9/1b5ffa6b10479aba6ee576fff976f7/Privacy-in-Europe.png,General Data Protection Regulation (GDPR),INTERMEDIATE,"Personally Identifiable Information, Information Privacy, Law, Regulation, and Compliance, Regulation and Legal Compliance, Data Sharing, Governance",4.4,93
Homeland Security & Cybersecurity Connection - It's Not About the Terrorists,https://www.coursera.org/learn/homeland-security-cybersecurity-connection,https://s3.amazonaws.com/coursera-course-photos/16/def528df054d398173b23d1e255b0c/Homeland_Cybersecurity_1.png,Infrastructure Security,BEGINNER,"Public Safety and National Security, Cybersecurity, Security Management, Cyber Attacks, Cyber Security Policies, Security Strategy, Threat Modeling, Policty Analysis, Research, and Development, Risk Management Framework",4.7,376
"Spring MVC, Spring Boot  and Rest Controllers",https://www.coursera.org/learn/spring-mvc-rest-controller,https://s3.amazonaws.com/coursera-course-photos/54/7f56155a544784b75157a2bec2f8ca/Spring800x800.png,Model View Controller,INTERMEDIATE,"Spring Framework, Restful API, Spring Boot, Web Services, JSON, YAML, Java, Web Applications, Configuration Management, Angular, Application Frameworks, Software Architecture, Server Side, Extensible Markup Language (XML)",4.2,198
World Design for Video Games,https://www.coursera.org/learn/video-game-world,https://s3.amazonaws.com/coursera-course-photos/b0/d82cc088ba11e585f3eff94fdbec60/3_Theo_World.jpg,Conceptual Design,BEGINNER,"Virtual Environment, Storytelling, Design, Visualization (Computer Graphics), Aesthetics, Design Research, Creativity",4.5,813
Introduction to Data Analytics for Business,https://www.coursera.org/learn/data-analytics-business,https://s3.amazonaws.com/coursera-course-photos/ed/507ce0715611e6b6f35f5f102d7818/AdobeStock_44161057--square.jpg,Data Governance,BEGINNER,"Analytics, Business Analytics, Data Storage, Data Management, Big Data, Databases, Business Intelligence, Data Analysis, Relational Databases, Data Quality, SQL, Organizational Structure, Cloud Computing, Data Manipulation",4.7,3142
Planned Giving,https://www.coursera.org/learn/planned-giving,https://s3.amazonaws.com/coursera-course-photos/75/cb3e000c4911e8a2fd6f9c3c05cf02/GettyImages-697534407_square.jpg,Fundraising,BEGINNER,"Philanthropy, Tax Planning, Marketing Planning, Customer Relationship Building, Marketing Strategies, Relationship Building, Administration, Financial Planning, Educational Materials, Professional Networking, Tax Laws",4.6,34
Introduction to Microsoft 365 Copilot,https://www.coursera.org/learn/introduction-to-microsoft-365-copilot,https://s3.amazonaws.com/coursera-course-photos/c4/1618582f904cf7b4a4a6e0cad297a4/MSFT-SC2_RR_G01.png,Microsoft 365,BEGINNER,"Microsoft Outlook, Productivity Software, ChatGPT, Microsoft Word, Microsoft PowerPoint, Microsoft Excel, Business Process Automation, Artificial Intelligence, Generative AI, Identity and Access Management, Natural Language Processing, Data Security",4.5,101
PepsiCo: Water Stewardship,https://www.coursera.org/specializations/water-stewardship-pepsico,https://d15cw65ipctsrr.cloudfront.net/1e/ac0c6c17624fd0a5115e7695b25c6a/ASU_pep_water3.jpg,Water Resources,BEGINNER,"Environment and Resource Management, Natural Resource Management, Environment, Corporate Sustainability, Environmental Resource Management, Stakeholder Engagement, Hydraulics, Civil Engineering, Strategic Planning, Governance, Public Works, Forecasting, Environmental Issue, Environmental Policy, Quantitative Research, Supply Chain, Law, Regulation, and Compliance, Economics, Environmental Monitoring",4.7,6
Design for Additive Manufacturing,https://www.coursera.org/learn/design-for-additive-manufacturing,https://s3.amazonaws.com/coursera-course-photos/e7/0bcaab17914c98a72ac98503703bb7/shutterstock_1762363112.jpg,Manufacturing Processes,INTERMEDIATE,"Engineering Design Process, Product Design, Design Strategies, Prototyping, Mechanical Engineering, Design, Cost Estimation",4.9,44
FPGA Capstone:  Building FPGA Projects,https://www.coursera.org/learn/capstone-fpga-design,https://s3.amazonaws.com/coursera-course-photos/6b/3ef350839a11e8b470e90cd6d67ab3/FPGA-LOGO.png,Field-Programmable Gate Array (FPGA),INTERMEDIATE,"Hardware Design, Electronic Systems, System Design and Implementation, Computer Architecture, Embedded Systems, Development Environment, Software Development, Integrated Development Environments, Computer-Aided Design, Engineering Documentation",4.3,23
Exploratory Data Analysis,https://www.coursera.org/learn/exploratory-data-analysis-visualisation,https://s3.amazonaws.com/coursera-course-photos/df/be3d95fcc94b25bb8abd0d9a075324/Exploratory_data_analysis_800x800.png,Exploratory Data Analysis,INTERMEDIATE,"Data Cleansing, Statistical Modeling, Statistics, Data Analysis, R Programming, Box Plots, Data Visualization Software, Histogram, Statistical Analysis, Probability, Probability Distribution, Simulations",4.4,7
Introduction to Creative Thinking: Tools for Success,https://www.coursera.org/learn/introduction-to-creative-thinking,https://s3.amazonaws.com/coursera-course-photos/71/548823214f41928b42bca35d84c70c/ctt-green-square.png,Creative Thinking,BEGINNER,"Brainstorming, Ideation, Creativity, Creative Problem-Solving, Innovation, Problem Solving, Critical Thinking",4.9,751
Immunology: Immune Failures and Cancer Immunology,https://www.coursera.org/learn/immunology-immune-failures-and-cancer-immunology,https://s3.amazonaws.com/coursera-course-photos/a7/a55ee7ae734a33aa96c73f6fd1638c/MOOC-05.svg.png,Infectious Diseases,INTERMEDIATE,"Patient Treatment, Life Sciences, Treatment Planning, Medical Science and Research, Clinical Trials",4.7,93
Artificial Intelligence: An Overview,https://www.coursera.org/learn/artificial-intelligence-an-overview,https://s3.amazonaws.com/coursera-course-photos/d8/55e42cfb7d46bc8d769505eade77b3/AI101_cover.jpg,Artificial Intelligence,BEGINNER,"Artificial Intelligence and Machine Learning (AI/ML), Computer Science, Computer Vision, Machine Learning, Natural Language Processing, Computer Hardware",4.5,151
Modern Regression Analysis in R,https://www.coursera.org/learn/modern-regression-analysis-in-r,https://s3.amazonaws.com/coursera-course-photos/4d/c02572bf374c0b8affbef9f9ecba53/Stat-logo22.jpg,Statistical Inference,INTERMEDIATE,"Statistical Modeling, Regression Analysis, Data Ethics, Statistical Methods, Statistical Hypothesis Testing, Data Science, R Programming, Data Modeling, Statistical Analysis, Predictive Modeling, Predictive Analytics, Probability & Statistics, Forecasting, Linear Algebra",4.4,30
"Globalización, Crecimiento Económico y Estabilidad",https://www.coursera.org/specializations/globalizacion-crecimiento-economico-y-estabilidad,https://d15cw65ipctsrr.cloudfront.net/00/2d9730c61911e8abbb596e8ed7d478/especializacion.jpg,Financial Policy,BEGINNER,"Economics, Policy, and Social Studies, Economics, International Finance, Policy Analysis, International Relations, Economic Development, Tax, Global Marketing, Socioeconomics, Trend Analysis, Market Opportunities, Business Economics, Political Sciences, Fiscal Management, Supply And Demand, Business Risk Management, Financial Analysis, Policty Analysis, Research, and Development, Business Strategies",4.8,675
Aligning Diet and Exercise,https://www.coursera.org/learn/aligning-diet-and-exercise,https://s3.amazonaws.com/coursera-course-photos/b9/66352750564723a167764417a3d8a6/Aligning-Diet-and-Exercise---Shop-Tile.jpg,Kinesiology,INTERMEDIATE,"Food and Beverage, Health Assessment, Scientific Methods, Vital Signs, Goal Setting",4.8,46
Azure Cloud Services,https://www.coursera.org/learn/azure-cloud-services,https://s3.amazonaws.com/coursera-course-photos/4d/dbe79ff7ad4027aa71798524e15c60/Azure-Cloud-Services.png,Microsoft Azure,BEGINNER,"Virtual Machines, Virtualization and Virtual Machines, Scalability, Cloud Platforms, Cloud Computing, Infrastructure As A Service (IaaS), Cloud Infrastructure, Network Architecture, Kubernetes, Cloud Security, Network Security, Network Routing, Network Planning And Design, Load Balancing, Application Deployment, Role-Based Access Control (RBAC), Hardware Troubleshooting, Identity and Access Management, Security Information and Event Management (SIEM)",4.6,9
Agile Software Development,https://www.coursera.org/learn/agile-software-development,https://s3.amazonaws.com/coursera-course-photos/70/cfdcd08b9811e78716534a6ac80bd9/Agile-course-image.png,User Story,INTERMEDIATE,"Agile Software Development, Agile Methodology, Agile Project Management, Scrum (Software Development), Sprint Planning, Software Development Methodologies, Sprint Retrospectives, Backlogs, Continuous Integration, Test Driven Development (TDD), Release Management",4.7,7354
Publicidad con Meta,https://www.coursera.org/learn/publicidad-con-facebook,https://s3.amazonaws.com/coursera-course-photos/f1/f4aff288804936a2cd748cc5b52473/Course4-logo-1-.png,Campaign Management,BEGINNER,"Performance Analysis, Facebook, Media Planning, Advertising Campaigns, Performance Measurement, Performance Metric, Advertising, Target Audience, Social Media, Instagram, Social Media Marketing, Digital Marketing, Bidding, Budget Management, Goal Setting",4.9,213
Designing Effective Science Communication,https://www.coursera.org/learn/designing-effective-science-communication,https://s3.amazonaws.com/coursera-course-photos/3a/7e3e7786dd46b5b7a65f0c1c371206/IMG_7743.jpg,Human Learning,BEGINNER,"Technical Communication, Education and Training, Writing, Learning Theory, Community Outreach, Research, Technical Writing, Lecturing, Scientific Methods, Media and Communications, Interactive Learning, Science and Research, Writing and Editing, Persuasive Communication, Program Evaluation, Interviewing Skills, Educational Materials, Instructional Strategies, Storytelling",4.7,114
Introduction to Quality Improvement in Healthcare  ,https://www.coursera.org/learn/intro-quality-improvement-healthcare-1,https://s3.amazonaws.com/coursera-course-photos/a2/8b481775fd47eab0a35b0a4001d6c6/QIH-Logo-MOOC1.jpg,Continuous Quality Improvement (CQI),MIXED,"Quality Assurance, Patient Safety, Health Systems, Clinical Leadership, Healthcare Industry Knowledge, Community Development, Care Coordination, Cultural Responsiveness, Risk Analysis",4.7,32
The Analyze Phase for the 6 σ Black Belt,https://www.coursera.org/learn/theanalyzephaseforthesixsigmablackbelt,https://s3.amazonaws.com/coursera-course-photos/86/3e311cfb1f4c189b965266788231f3/Square-Course5.png,Six Sigma Methodology,MIXED,"Lean Six Sigma, Statistical Hypothesis Testing, Statistical Analysis, Analysis, Statistical Methods, Statistical Inference, Process Analysis, Correlation Analysis, Probability & Statistics, Risk Analysis, Regression Analysis, Variance Analysis, Sample Size Determination, Sampling (Statistics)",4.4,43
Game Development and Prototyping,https://www.coursera.org/learn/game-development-and-prototyping,https://s3.amazonaws.com/coursera-course-photos/d5/1d556201cf418a954323cbf74fe714/epic-games-logo-1200x1200-black.png,Program Development,BEGINNER,"Prototyping, System Design and Implementation, Software Design, Conceptual Design, Creativity, Virtual Environment, User Interface (UI), Design",4.2,8
Practical Guide to Navigating Professional Relationships,https://www.coursera.org/learn/professional-communication-skills-sales,https://s3.amazonaws.com/coursera-course-photos/f4/613f4b70994bd5ae69b1abc0cefbe4/Group-35-Copy-8.png,Business Writing,BEGINNER,"Writing, Verbal Communication Skills, Cultural Responsiveness, Cultural Diversity, Empathy, Professional Development, Active Listening, Business Communication, Professionalism, Constructive Feedback, Interpersonal Communications, Diversity and Inclusion, Communication, Relationship Building, Public Speaking, Employee Onboarding",4.6,45
Business Statistics and Analysis Capstone,https://www.coursera.org/learn/business-statistics-analysis-capstone,https://s3.amazonaws.com/coursera-course-photos/3a/d427405f0b11e6bc9bd17491fd46f8/ChartsGraphsTabletThumb.jpg,Business Analytics,MIXED,"Statistical Analysis, Data Analysis, Data Presentation, Statistics, Analytical Skills, Technical Communication, Exploratory Data Analysis, Regression Analysis, Business, Strategic Partnership",4.7,435
Advanced Competitive Strategy,https://www.coursera.org/learn/advanced-competitive-strategy,https://s3.amazonaws.com/coursera-course-photos/18/2b5f60803011e6a46893aeafe0f081/compStrat_Icon_1200_blue.jpg,Mergers & Acquisitions,MIXED,"Customer Retention, Business Strategy, Growth Strategies, Compliance Management, Competitive Analysis, Strategic Partnership, Product Strategy, New Business Development, Market Dynamics, Market Analysis",4.7,869
Managing Linux Systems,https://www.coursera.org/learn/managing-linux-systems,https://s3.amazonaws.com/coursera-course-photos/dd/ad5531bbc04bdca53d14d7833c3846/LFCA.png,Package and Software Management,BEGINNER,"Linux Administration, Linux, System Monitoring, Linux Commands, File Systems, User Accounts, Command-Line Interface, Systems Administration, Data Storage, System Configuration, Operating Systems, Performance Tuning, Network Administration, Software Installation, Network Troubleshooting",4.5,162
Laboratório de Programação Orientada a Objetos - Parte 1,https://www.coursera.org/learn/lab-poo-parte-1,https://s3.amazonaws.com/coursera-course-photos/30/01c7ccdb7d440d9fe3d35c73ea370c/Screen-Shot-2021-01-18-at-3.28.03-PM.png,Model View Controller,INTERMEDIATE,"Unified Modeling Language, Object Oriented Programming (OOP), Software Design Patterns, Java, Software Design, Computer Programming, Debugging, Software Architecture, Programming Principles",4.8,178
Introduction to Computer Vision,https://www.coursera.org/learn/intro-computer-vision,https://s3.amazonaws.com/coursera-course-photos/90/1641c4f0be4906a3095292a58a46d2/c1-introduction-to-computer-vision-1000x1000.jpg,Image Analysis,INTERMEDIATE,"Computer Vision, Matlab, Anomaly Detection, Geospatial Information and Technology, Applied Machine Learning, Data Transformation, Algorithms",4.6,49
Decision-Making: Blending Art & Science,https://www.coursera.org/learn/decision-making-art-and-science,https://s3.amazonaws.com/coursera-course-photos/64/74f97a05bd4a91b6a0289ddd582838/Course-2-Logo.jpg,Decision Making,BEGINNER,"Strategic Decision-Making, Self-Awareness, Emotional Intelligence, Critical Thinking, Behavioral Economics, Problem Solving, Dealing With Ambiguity, Goal Setting, Business Risk Management, Business Strategy, Overcoming Obstacles",4.8,167
Environmental Science,https://www.coursera.org/learn/environmental-science,https://s3.amazonaws.com/coursera-course-photos/b5/610c42c09243f79d5ef3734bff60c4/moose-species.jpeg,Environment,BEGINNER,"Environmental Issue, Water Resources, Environmental Policy, Environmental Monitoring, Natural Resource Management, Life Sciences, Pollution Prevention, Physical Science, Systems Thinking, General Science and Research",4.7,236
"Anatomy & Physiology: Fluids, Transport, and Defense",https://www.coursera.org/learn/anatomy-physiology-fluids-transport-defense,https://s3.amazonaws.com/coursera-course-photos/b2/153e7067644d1a9ba6b5d97677b195/nurse-measuring-patient-blood-pressure-2022-12-15-23-22-50-utc.jpg,Anatomy,INTERMEDIATE,"Electocardiography, General Medicine, General Medical Tests and Procedures, Vital Signs, Infectious Diseases",4.8,17
Introduction to SAFe: Navigating Scaled Agile Framework,https://www.coursera.org/learn/introduction-to-safe-navigating-scaled-agile-framework,https://s3.amazonaws.com/coursera-course-photos/ee/18f7fed1c642b59fa125f5edd239ef/2.-Mastering-Iteration-Planning-and-PI-in-Scaled-Agile-Framework.png,Scaled Agile Framework,BEGINNER,"Lean Methodologies, Agile Methodology, Team Management, Agile Project Management, Kanban Principles, Release Management, Sprint Planning, Strategic Planning, Cross-Functional Collaboration, Product Management",3.8,81
Planejamento e controle da produção: fundamentos e modelagem,https://www.coursera.org/learn/planejamento-producao-controle,https://s3.amazonaws.com/coursera-course-photos/ec/cf95d12b8745dfa78c02ad9ce1ac4b/Coursera-pcp-banner-1000x1000.png,Production Planning,INTERMEDIATE,"Production Process, Manufacturing Operations, Lean Manufacturing, Resource Planning, Inventory Control, Supply Chain Planning, Inventory Management System, Operations Management, Scheduling, Time Series Analysis and Forecasting, Demand Planning, Forecasting, Transportation Operations, Capacity Management",5,1
Backend Development and API Creation,https://www.coursera.org/learn/packt-backend-development-and-api-creation-w2u4y,https://s3.amazonaws.com/coursera-course-photos/5c/c68c054f84496ab08d6b09eff1e160/V11350.jpg,Node.JS,BEGINNER,"Server Side, Back-End Web Development, User Accounts, Authentications, Data Validation, MongoDB, Application Deployment, Restful API, Data Structures, Application Programming Interface (API), Database Development, Javascript, Application Security, Development Environment",4.9,8
Comprender las dimensiones interculturales en la cotidianidad,https://www.coursera.org/learn/interculturalidad,https://s3.amazonaws.com/coursera-course-photos/c4/2fec802a0c11e995d7b9bd8e6736eb/Interculturalidad_logo_Mesa-de-trabajo-1.jpg,Culture,INTERMEDIATE,"Cultural Diversity, Intercultural Competence, Cultural Responsiveness, Cultural Sensitivity, Diversity Awareness, Language Learning, Liberal Arts, Interpersonal Communications, Psychology, Non-Verbal Communication, Storytelling",4.8,381
Teaching Children with Visual Impairment: Creating Empowering Classrooms,https://www.coursera.org/learn/teach-children-with-visual-impairment,https://s3.amazonaws.com/coursera-course-photos/cb/671c12403c48a89a4e5f6816ae7021/VI_logo-1200X1200-pixels.png,Visual Impairment Education,BEGINNER,"Differentiated Instruction, Teaching, Curriculum Development, Educational Materials, Disabilities, Learning Styles, Instructional Strategies, Classroom Management, Student Engagement, Diversity and Inclusion, Empowerment, Parent Communication",4.8,174
"服務模式的體驗、設計與創新：從痛點到賣點 (Experience, Design, and Innovation of Service Models: from Pain Points to Selling Points)",https://www.coursera.org/learn/service-models,https://s3.amazonaws.com/coursera-course-photos/53/866a30889611e89787bb07e0f910b3/__-logo1-01.png,Revenue Management,BEGINNER,"Service Design, Financial Services, Service Management, Process Analysis, Innovation, Experience Design, Customer Analysis, Business Modeling, Platform As A Service (PaaS), Consumer Behaviour, Market Analysis",4.8,149
Immunology: Immune System and Infectious Diseases,https://www.coursera.org/learn/immunology-immune-system-and-infectious-diseases,https://s3.amazonaws.com/coursera-course-photos/86/f1b4002d56418d95626724155c4722/MOOC-04.png,Infectious Diseases,INTERMEDIATE,"Epidemiology, Respiration, Internal Medicine, Life Sciences, Medical Science and Research",4.8,72
Inclusive Communication and Behavior in the Workplace,https://www.coursera.org/learn/inclusive-communication-and-behavior-in-the-workplace,https://s3.amazonaws.com/coursera-course-photos/ba/0fdcfe1adb459ca0a6900aec92cb53/DEIB-marketing-image.png,Active Listening,BEGINNER,"Empathy, Diversity and Inclusion, Social Skills, Relationship Building, Cultural Diversity, Emotional Intelligence, Professionalism, Interpersonal Communications, Communication Strategies, Self-Awareness, Communication",4.4,8
Introduction to Healthcare Finance,https://www.coursera.org/learn/introduction-to-healthcare-finance,https://s3.amazonaws.com/coursera-course-photos/6d/4fa209456b4f49a474f9469bbbdc04/finance_final.png,Mergers & Acquisitions,INTERMEDIATE,"Price Negotiation, Strategic Decision-Making, Financial Analysis, Return On Investment, Business Valuation, Financial Modeling, Finance, Pharmaceuticals, Investment Banking, Market Dynamics, Negotiation, Healthcare Industry Knowledge, Cost Estimation, Health Care, Cash Flows",4.8,6
Developing a Winning Marketing Strategy,https://www.coursera.org/learn/marketing-management,https://s3.amazonaws.com/coursera-course-photos/ee/6637f55cd9400887619d2a38a3ccbf/GIES_Icon_B.png,Marketing,BEGINNER,"Marketing Management, Marketing Planning, Marketing Strategy and Techniques, Brand Strategy, Consumer Behaviour, Proposal Development, Product Planning, Marketing Analytics, Target Market, Promotional Strategies, Value Propositions, Market Analysis, Customer Insights",4.8,1725
Introduction to Data Science and scikit-learn in Python,https://www.coursera.org/learn/data-science-and-scikit-learn-in-python,https://s3.amazonaws.com/coursera-course-photos/d6/d2911a31a04b4da3edd948ac0a8669/noun_Artificial-Intelligence_1903140.png,Feature Engineering,BEGINNER,"Exploratory Data Analysis, Pandas (Python Package), Scikit Learn (Machine Learning Library), Data Manipulation, NumPy, Data Analysis, Python Programming, Regression Analysis, Predictive Modeling, Machine Learning, Classification And Regression Tree (CART), Artificial Intelligence and Machine Learning (AI/ML), Statistical Methods, Programming Principles, Data Structures",3.8,45
ART of the MOOC: Public Art and Pedagogy,https://www.coursera.org/learn/public-art-pedagogy,https://s3.amazonaws.com/coursera-course-photos/4d/c174f07b4611e6becbdb9b36e8ff2f/ARToftheMOOC_Coursera_LPage_Image_Final.jpg,Social Studies,BEGINNER,"Pedagogy, Student Engagement, Aesthetics, Social Justice, Cultural Diversity, Creativity, Teaching, Community Development, Collaboration",4.7,124
Adaptability and Resiliency,https://www.coursera.org/learn/adaptability-and-resiliency,https://s3.amazonaws.com/coursera-course-photos/b5/b9e5c78a9b4907b418225e59a24232/SKL1102_1200x1200.png,Adaptability,BEGINNER,"Resilience, Professional Development, Action Oriented, Overcoming Obstacles, Self-Awareness, Growth Mindedness, Personal Development, Relationship Building, Plan Execution, Dealing With Ambiguity, Stress Management, Optimism",4.7,559
Strategic Thinking,https://www.coursera.org/learn/strategicthinking,https://s3.amazonaws.com/coursera-course-photos/79/540dee7fc349ae9ca4d30d320683ff/FE_Strategic_Thinking_Course_Page_Image.png,Strategic Thinking,MIXED,"Strategic Decision-Making, Systems Thinking, Business Strategy, Complex Problem Solving, Decision Making, Analysis, Trend Analysis, Forecasting, Strategic Prioritization, Competitive Analysis, Business Planning, Data-Driven Decision-Making, Market Intelligence, Organizational Strategy, Performance Analysis",4.3,33
Text Retrieval and Search Engines,https://www.coursera.org/learn/text-retrieval,https://s3.amazonaws.com/coursera-course-photos/15/ced260533711e4a50e27ce928f81ce/Mining_Text_Data_1.jpg,Text Mining,MIXED,"Natural Language Processing, Data Mining, Unstructured Data, Big Data, Web Analytics and SEO, Machine Learning, Information Architecture, Statistical Methods, Probability & Statistics",4.5,957
Art for Games,https://www.coursera.org/specializations/art-for-games,https://d15cw65ipctsrr.cloudfront.net/7c/78bc9d2ba84645a7fe5c2ad35194df/COURSERA-SQUARE.jpg,3D Modeling,BEGINNER,"Storyboarding, Color Theory, Adobe Photoshop, Visualization (Computer Graphics), Computer Graphics, Design Elements And Principles, Conceptual Design, Virtual Environment, Graphic and Visual Design, Computer Graphic Techniques, Design, Data Import/Export, Image Analysis, Graphics Software, Aesthetics, Creativity, Baking",4.5,392
Automation in the AWS Cloud,https://www.coursera.org/learn/automation-in-aws,https://s3.amazonaws.com/coursera-course-photos/23/2637faa47047ceb16d3cf74d026a87/CTC-Prof-Cert-Course-Image---800x800CourseraCourse-7.png,Infrastructure as Code (IaC),BEGINNER,"AWS CloudFormation, IT Automation, Scripting, Bash (Scripting Language), Amazon Web Services, Command-Line Interface, Configuration Management, Amazon Elastic Compute Cloud, Automation, Shell Script, Continuous Monitoring, Infrastructure As A Service (IaaS), Patch Management",4.6,62
Strategies for Audience Growth and Promoting Music Brands,https://www.coursera.org/learn/strategies-for-audience-growth-and-promoting-music-brands,https://s3.amazonaws.com/coursera-course-photos/1d/39cf0e4723403dacb96af373da8456/GrammyGO_Victoria_Marketing_800x800.png,Media Strategy,BEGINNER,"Content Strategy, Promotional Strategies, Marketing Analytics, Customer Engagement, Brand Awareness, Marketing Strategies, Marketing Communications, Trend Analysis, Brand Strategy, Content Creation, Social Media Marketing, Target Audience, Social Media Strategy, Data-Driven Decision-Making, Campaign Management, Brand Management, Key Performance Indicators (KPIs), Digital Marketing, Budget Management",4.8,5
